No.,DexID,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitality,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type,Legendary,Sprite,Good Starter
299,0299,Nosepass,Rock,,3,2,4,1,3,3,7,2,4,2,5,Sturdy,Magnet Pull,Sand Force,,Yes,,Beginner,,,nosepass.png,Yes
300,0300,Skitty,Normal,,3,2,4,2,5,2,4,1,3,1,3,Cute Charm,Normalize,Wonder Skin,,Yes,,Starter,,,skitty.png,Yes
301,0301,Delcatty,Normal,,4,2,4,2,5,2,4,2,4,2,4,Cute Charm,Normalize,Wonder Skin,,,,Beginner,,,delcatty.png,
302,0302,Sableye,Dark,Ghost,4,2,5,2,4,2,5,2,4,2,4,Keen Eye,Stall,Prankster,,,Yes,Amateur,,,sableye.png,
302,0302M1,Mega-Sableye,Dark,Ghost,5,2,5,1,2,3,7,3,6,3,7,Magic Bounce,,,,,,Ace,,,sableye-mega.png,
303,0303,Mawile,Steel,Fairy,4,2,5,2,4,2,5,2,4,2,4,Hyper Cutter,Intimidate,Sheer Force,,,Yes,Amateur,,,mawile.png,
303,0303M1,Mega-Mawile,Steel,Fairy,5,3,6,2,4,3,7,2,4,3,6,Huge Power,,,,,,Ace,,,mawile-mega.png,
304,0304,Aron,Steel,Rock,3,2,5,1,3,3,6,1,3,1,3,Sturdy,Rock Head,Heavy Metal,,Yes,,Beginner,,,aron.png,Yes
305,0305,Lairon,Steel,Rock,4,2,5,1,3,3,7,2,4,2,4,Sturdy,Rock Head,Heavy Metal,,Yes,,Amateur,,,lairon.png,
306,0306,Aggron,Steel,Rock,5,3,6,2,4,4,9,2,4,2,4,Sturdy,Rock Head,Heavy Metal,,,Yes,Pro,,,aggron.png,
306,0306M1,Mega-Aggron,Steel,,6,3,7,2,4,5,11,2,4,2,5,Filter,,,,,,Master,,,aggron-mega.png,
307,0307,Meditite,Fighting,Psychic,3,1,3,2,4,2,4,1,3,2,4,Pure Power,,Telepathy,,Yes,,Beginner,,,meditite.png,Yes
308,0308,Medicham,Fighting,Psychic,4,2,4,2,5,2,5,2,4,2,5,Pure Power,,Telepathy,,,Yes,Amateur,,,medicham.png,
308,0308M1,Mega-Medicham,Fighting,Psychic,5,3,6,3,6,3,6,2,5,3,6,Pure Power,,,,,,Ace,,,medicham-mega.png,
309,0309,Electrike,Electric,,3,2,4,2,4,1,3,2,4,1,3,Static,Lightning Rod,Minus,,Yes,,Beginner,,,electrike.png,Yes
310,0310,Manectric,Electric,,4,2,5,3,6,2,4,3,6,2,4,Static,Lightning Rod,Minus,,,Yes,Amateur,,,manectric.png,
310,0310M1,Mega-Manectric,Electric,,5,2,5,3,7,2,5,3,7,2,5,Intimidate,,,,,,Ace,,,manectric-mega.png,
311,0311,Plusle,Electric,,4,2,4,3,6,1,3,2,5,2,5,Plus,,Lightning Rod,,,,Starter,,,plusle.png,
312,0312,Minun,Electric,,4,1,3,3,6,2,4,2,5,2,5,Minus,,Volt Absorb,,,,Starter,,,minun.png,
313,0313,Volbeat,Bug,,4,2,5,2,5,2,5,2,4,2,5,Illuminate,Swarm,Prankster,,,,Beginner,M,,volbeat.png,
314,0314,Illumise,Bug,,4,2,4,2,5,2,5,2,5,2,5,Oblivious,Tinted Lens,Prankster,,,,Beginner,F,,illumise.png,
315,0315,Roselia,Grass,Poison,4,2,4,2,4,2,4,3,6,2,5,Natural Cure,Poison Point,Leaf Guard,,Yes,,Beginner,,,roselia.png,Yes
316,0316,Gulpin,Poison,,3,1,3,1,3,2,4,1,3,2,4,Liquid Ooze,Sticky Hold,Gluttony,,Yes,,Starter,,,gulpin.png,Yes
317,0317,Swalot,Poison,,5,2,5,2,4,2,5,2,5,2,5,Liquid Ooze,Sticky Hold,Gluttony,,,,Amateur,,,swalot.png,
318,0318,Carvanha,Water,Dark,3,2,5,2,4,1,3,2,4,1,3,Rough Skin,,Speed Boost,,Yes,,Beginner,,,carvanha.png,Yes
319,0319,Sharpedo,Water,Dark,4,3,7,3,6,1,3,3,6,1,3,Rough Skin,,Speed Boost,,,Yes,Ace,,,sharpedo.png,
319,0319M1,Mega-Sharpedo,Water,Dark,5,4,8,3,6,2,5,3,6,2,4,Strong Jaw,,,,,,Pro,,,sharpedo-mega.png,
320,0320,Wailmer,Water,,5,2,5,2,4,1,3,2,5,1,3,Water Veil,Oblivious,Pressure,,Yes,,Amateur,,,wailmer.png,Yes
321,0321,Wailord,Water,,11,2,5,2,4,2,4,2,5,2,4,Water Veil,Oblivious,Pressure,,,,Ace,,,wailord.png,
322,0322,Numel,Fire,Ground,3,2,4,1,3,1,3,2,4,2,4,Oblivious,Simple,Own Tempo,,Yes,,Beginner,,,numel.png,Yes
323,0323,Camerupt,Fire,Ground,4,3,6,1,3,2,5,3,6,2,5,Magma Armor,Solid Rock,Anger Point,,,Yes,Amateur,,,camerupt.png,
323,0323M1,Mega-Camerupt,Fire,Ground,5,3,7,1,2,3,6,4,8,3,6,Sheer Force,,,,,,Ace,,,camerupt-mega.png,
324,0324,Torkoal,Fire,,4,2,5,1,3,3,7,2,5,2,5,White Smoke,Drought,Shell Armor,,,,Amateur,,,torkoal.png,
325,0325,Spoink,Psychic,,3,1,3,2,4,1,3,2,5,2,5,Thick Fat,Own Tempo,Gluttony,,Yes,,Starter,,,spoink.png,Yes
326,0326,Grumpig,Psychic,,4,2,4,2,5,2,4,2,5,3,6,Thick Fat,Own Tempo,Gluttony,,,,Amateur,,,grumpig.png,
327,0327,Spinda,Normal,,4,2,4,2,4,2,4,2,4,2,4,Own Tempo,Tangled Feet,Contrary,,,,Beginner,,,spinda.png,
328,0328,Trapinch,Ground,,3,3,6,1,2,2,4,2,4,2,4,Hyper Cutter,Arena Trap,Sheer Force,,Yes,,Beginner,,,trapinch.png,Yes
329,0329,Vibrava,Ground,Dragon,4,3,6,2,4,2,4,2,4,2,4,Levitate,,,,Yes,,Amateur,,,vibrava.png,
330,0330,Flygon,Ground,Dragon,5,3,6,3,6,2,5,2,5,2,5,Levitate,,,,,Yes,Ace,,,flygon.png,
331,0331,Cacnea,Grass,,3,2,5,1,3,1,3,2,5,1,3,Sand Veil,,Water Absorb,,Yes,,Beginner,,,cacnea.png,Yes
332,0332,Cacturne,Grass,Dark,4,3,6,2,4,2,4,3,6,2,4,Sand Veil,,Water Absorb,,,Yes,Amateur,,,cacturne.png,
333,0333,Swablu,Normal,Flying,3,1,3,2,4,2,4,1,3,2,5,Natural Cure,,Cloud Nine,,Yes,,Beginner,,,swablu.png,Yes
334,0334,Altaria,Dragon,Flying,4,2,5,2,5,2,5,2,5,3,6,Natural Cure,,Cloud Nine,,,Yes,Ace,,,altaria.png,
334,0334M1,Mega-Altaria,Dragon,Fairy,5,3,6,2,5,3,6,3,6,3,6,Pixilate,,,,,,Pro,,,altaria-mega.png,
335,0335,Zangoose,Normal,,4,3,6,2,5,2,4,2,4,2,4,Immunity,,Toxic Boost,,,,Amateur,,,zangoose.png,
336,0336,Seviper,Poison,,4,3,6,2,4,2,4,3,6,2,4,Shed Skin,,Infiltrator,,,,Amateur,,,seviper.png,
337,0337,Lunatone,Rock,Psychic,4,2,4,2,5,2,4,3,6,2,5,Levitate,,,,,,Amateur,N,,lunatone.png,
338,0338,Solrock,Rock,Psychic,4,3,6,2,5,2,5,2,4,2,4,Levitate,,,,,,Amateur,N,,solrock.png,
339,0339,Barboach,Water,Ground,3,2,4,2,4,1,3,2,4,1,3,Oblivious,Anticipation,Hydration,,Yes,,Starter,,,barboach.png,Yes
340,0340,Whiscash,Water,Ground,5,2,5,2,4,2,5,2,5,2,5,Oblivious,Anticipation,Hydration,,,,Amateur,,,whiscash.png,
341,0341,Corphish,Water,,3,2,5,1,3,2,4,2,4,1,3,Hyper Cutter,Shell Armor,Adaptability,,Yes,,Beginner,,,corphish.png,Yes
342,0342,Crawdaunt,Water,Dark,4,3,7,2,4,2,5,2,5,2,4,Hyper Cutter,Shell Armor,Adaptability,,,Yes,Amateur,,,crawdaunt.png,
343,0343,Baltoy,Ground,Psychic,3,1,3,2,4,2,4,1,3,2,5,Levitate,,,,Yes,,Beginner,N,,baltoy.png,Yes
344,0344,Claydol,Ground,Psychic,4,2,5,2,5,3,6,2,5,3,6,Levitate,,,,,,Ace,N,,claydol.png,
345,0345,Lileep,Rock,Grass,3,1,3,1,3,2,5,2,4,2,5,Suction Cups,,Storm Drain,,Yes,,Beginner,,,lileep.png,
346,0346,Cradily,Rock,Grass,4,2,5,1,3,3,6,2,5,3,6,Suction Cups,,Storm Drain,,,,Amateur,,,cradily.png,
347,0347,Anorith,Rock,Bug,3,3,6,2,5,2,4,1,3,2,4,Battle Armor,,Swift Swim,,Yes,,Beginner,,,anorith.png,
348,0348,Armaldo,Rock,Bug,4,3,7,2,4,3,6,2,5,2,5,Battle Armor,,Swift Swim,,,,Ace,,,armaldo.png,
349,0349,Feebas,Water,,3,1,2,2,5,1,3,1,2,2,4,Swift Swim,Oblivious,Adaptability,,Yes,,Starter,,,feebas.png,Yes
350,0350,Milotic,Water,,7,2,4,2,5,2,5,3,6,3,6,Marvel Scale,Competitive,Cute Charm,,,Yes,Ace,,,milotic.png,
351,0351,Castform,Normal,,4,2,5,2,5,2,5,2,5,2,5,Forecast,,,,,Yes,Amateur,,,castform.png,
352,0352,Kecleon,Normal,,4,2,5,1,3,2,5,2,4,3,7,Color Change,,Protean,,,,Amateur,,,kecleon.png,
353,0353,Shuppet,Ghost,,3,2,5,2,4,1,3,2,4,1,3,Insomnia,Frisk,Cursed Body,,Yes,,Beginner,,,shuppet.png,Yes
354,0354,Banette,Ghost,,4,3,6,2,4,2,4,2,5,2,5,Insomnia,Frisk,Cursed Body,,,Yes,Amateur,,,banette.png,
354,0354M1,Mega-Banette,Ghost,,5,4,8,2,5,2,5,3,6,2,5,Prankster,,,,,,Ace,,,banette-mega.png,
355,0355,Duskull,Ghost,,3,1,3,1,3,2,5,1,3,2,5,Levitate,,Frisk,,Yes,,Beginner,,,duskull.png,Yes
356,0356,Dusclops,Ghost,,4,2,5,1,3,3,7,2,4,3,7,Levitate,,Frisk,,Yes,,Amateur,,,dusclops.png,
357,0357,Tropius,Grass,Flying,5,2,4,2,4,2,5,2,5,2,5,Chlorophyll,Solar Power,Harvest,,,,Amateur,,,tropius.png,
358,0358,Chimecho,Psychic,,4,2,4,2,4,2,5,3,6,2,5,Levitate,,,,,,Amateur,,,chimecho.png,Yes
359,0359,Absol,Dark,,4,3,7,2,5,2,4,2,5,2,4,Pressure,Super Luck,Justified,,,Yes,Amateur,,,absol.png,
359,0359M1,Mega-Absol,Dark,,5,4,8,3,6,2,4,3,6,2,4,Magic Bounce,,,,,,Ace,,,absol-mega.png,
360,0360,Wynaut,Psychic,,3,1,3,1,3,2,4,1,3,2,4,Shadow Tag,,Telepathy,,Yes,,Starter,,,wynaut.png,Yes
361,0361,Snorunt,Ice,,3,2,4,2,4,2,4,2,4,2,4,Inner Focus,Ice Body,Moody,,Yes,,Beginner,,,snorunt.png,Yes
362,0362,Glalie,Ice,,4,2,5,2,5,2,5,2,5,2,5,Inner Focus,Ice Body,Moody,,,,Amateur,,,glalie.png,
362,0362M1,Mega-Glalie,Ice,,5,3,7,3,6,2,5,3,7,2,5,Refrigerate,,Moody,,,,Ace,,,glalie-mega.png,
363,0363,Spheal,Ice,Water,3,1,3,1,3,2,4,2,4,2,4,Thick Fat,Ice Body,Oblivious,,Yes,,Starter,,,spheal.png,Yes
364,0364,Sealeo,Ice,Water,4,2,4,2,4,2,5,2,5,2,5,Thick Fat,Ice Body,Oblivious,,Yes,,Amateur,,,sealeo.png,
365,0365,Walrein,Ice,Water,6,2,5,2,4,3,6,3,6,2,5,Thick Fat,Ice Body,Oblivious,,,,Ace,,,walrein.png,
366,0366,Clamperl,Water,,3,2,4,1,3,2,5,2,5,2,4,Swift Swim,,Rattled,,Yes,,Beginner,,,clamperl.png,Yes
367,0367,Huntail,Water,,4,3,6,2,4,3,6,3,6,2,5,Swift Swim,,Water Veil,,,,Amateur,,,huntail.png,
368,0368,Gorebyss,Water,,4,2,5,2,4,3,6,3,6,2,5,Swift Swim,,Hydration,,,,Amateur,,,gorebyss.png,
369,0369,Relicanth,Water,Rock,5,2,5,2,4,3,7,2,4,2,4,Swift Swim,Rock Head,Sturdy,,,,Amateur,,,relicanth.png,
370,0370,Luvdisc,Water,,4,1,3,3,6,2,4,1,3,2,4,Swift Swim,,Hydration,,,,Beginner,,,luvdisc.png,
371,0371,Bagon,Dragon,,3,2,5,2,4,2,4,1,3,1,3,Rock Head,,Sheer Force,,Yes,,Amateur,,,bagon.png,Yes
372,0372,Shelgon,Dragon,,4,3,6,2,4,3,6,2,4,2,4,Rock Head,,Overcoat,,Yes,,Amateur,,,shelgon.png,
373,0373,Salamence,Dragon,Flying,5,3,7,3,6,2,5,3,6,2,5,Intimidate,,Moxie,,,Yes,Pro,,,salamence.png,
373,0373M1,Mega-Salamence,Dragon,Flying,6,4,8,3,7,3,7,3,7,2,5,Aerilate,,,,,,Master,,,salamence-mega.png,
374,0374,Beldum,Steel,Psychic,3,2,4,1,3,2,5,1,3,2,4,Clear Body,,Light Metal,,Yes,,Beginner,N,,beldum.png,Yes
375,0375,Metang,Steel,Psychic,4,2,5,2,4,3,6,2,4,2,5,Clear Body,,Light Metal,,Yes,,Amateur,N,,meltan.png,
376,0376,Metagross,Steel,Psychic,5,3,7,2,5,3,7,3,6,2,5,Clear Body,,Light Metal,,,Yes,Pro,N,,metagross.png,
376,0376M1,Mega-Metagross,Steel,Psychic,6,4,8,3,6,4,8,3,6,3,6,Tough Claws,,,,,,Master,N,,metagross-mega.png,
377,0377,Regirock,Rock,,4,6,6,4,4,10,10,4,4,6,6,Clear Body,,Sturdy,,,,Master,N,Yes,regirock.png,
378,0378,Regice,Ice,,4,4,4,4,4,6,6,6,6,10,10,Clear Body,,Ice Body,,,,Master,N,Yes,regice.png,
379,0379,Registeel,Steel,,4,5,5,4,4,8,8,5,5,8,8,Clear Body,,Light Metal,,,,Master,N,Yes,registeel.png,
380,0380,Latias,Dragon,Psychic,4,5,5,6,6,5,5,6,6,7,7,Levitate,,,,,Yes,Master,F,Yes,latias.png,
380,0380M1,Mega-Latias,Dragon,Psychic,5,6,6,6,6,7,7,7,7,8,8,Levitate,,,,,,Master,F,Yes,latias-mega.png,
381,0381,Latios,Dragon,Psychic,4,5,5,6,6,5,5,7,7,6,6,Levitate,,,,,Yes,Master,M,Yes,latios.png,
381,0381M1,Mega-Latios,Dragon,Psychic,5,7,7,6,6,6,6,8,8,7,7,Levitate,,,,,,Master,M,Yes,latios-mega.png,
382,0382,Kyogre,Water,,6,6,6,5,5,5,5,8,8,7,7,Drizzle,,,,,Yes,Master,N,Yes,kyogre.png,
382,0382M1,Primal Kyogre,Water,,10,8,8,5,5,5,5,9,9,8,8,Primordial Sea,,,,,,Master,N,Yes,kyogre-primal.png,
383,0383,Groudon,Ground,,5,8,8,5,5,7,7,6,6,5,5,Drought,,,,,Yes,Master,N,Yes,groudon.png,
383,0383M1,Primal Groudon,Ground,Fire,7,9,9,5,5,8,8,8,8,5,5,Desolate Land,,,,,,Master,N,Yes,groudon-primal.png,
384,0384,Rayquaza,Dragon,Flying,8,8,8,6,6,5,5,8,8,5,5,Air Lock,,,,,Yes,Master,N,Yes,rayquaza.png,
384,0384M1,Mega-Rayquaza,Dragon,Flying,11,9,9,6,6,6,6,9,9,6,6,Delta Stream,,,,,,Master,N,Yes,rayquaza-mega.png,
385,0385,Jirachi,Steel,Psychic,5,6,6,6,6,6,6,6,6,6,6,Serene Grace,,,,,Yes,Master,N,Yes,jirachi.png,
386,0386,Deoxys,Psychic,,4,8,8,8,8,4,4,8,8,4,4,Pressure,,,,,Yes,Master,N,Yes,deoxys.png,
386,0386F1,Attack Deoxys,Psychic,,4,10,10,8,8,2,2,10,10,2,2,Pressure,,,,,Yes,Master,N,Yes,deoxys-attack.png,
386,0386F2,Defense Deoxys,Psychic,,4,5,5,5,5,9,9,5,5,9,9,Pressure,,,,,Yes,Master,N,Yes,deoxys-defense.png,
386,0386F3,Speed Deoxys,Psychic,,4,6,6,10,10,5,5,6,6,5,5,Pressure,,,,,Yes,Master,N,Yes,deoxys-speed.png,
387,0387,Turtwig,Grass,,3,2,4,1,3,2,4,2,4,2,4,Overgrow,,Shell Armor,,Yes,,Starter,,,turtwig.png,Yes
388,0388,Grotle,Grass,,4,2,5,1,3,2,5,2,4,2,4,Overgrow,,Shell Armor,,Yes,,Amateur,,,grotle.png,
389,0389,Torterra,Grass,Ground,5,3,6,2,4,3,6,2,5,2,5,Overgrow,,Shell Armor,,,,Ace,,,torterra.png,
390,0390,Chimchar,Fire,,3,2,4,2,4,1,3,2,4,1,3,Blaze,,Iron Fist,,Yes,,Starter,,,chimchar.png,Yes
391,0391,Monferno,Fire,Fighting,4,2,5,2,5,2,4,2,5,2,4,Blaze,,Iron Fist,,Yes,,Amateur,,,monferno.png,
392,0392,Infernape,Fire,Fighting,5,3,6,3,6,2,5,3,6,2,5,Blaze,,Iron Fist,,,,Ace,,,infernape.png,
393,0393,Piplup,Water,,3,2,4,1,3,2,4,2,4,2,4,Torrent,,Defiant,,Yes,,Beginner,,,piplup.png,Yes
394,0394,Prinplup,Water,,4,2,4,2,4,2,4,2,5,2,5,Torrent,,Defiant,,Yes,,Amateur,,,prinplup.png,
395,0395,Empoleon,Water,Steel,5,2,5,2,4,2,5,3,6,3,6,Torrent,,Defiant,,,,Ace,,,empoleon.png,
396,0396,Starly,Normal,Flying,3,2,4,2,4,1,3,1,3,1,3,Keen Eye,,Reckless,,Yes,,Starter,,,starly.png,Yes
397,0397,Staravia,Normal,Flying,4,2,5,2,5,2,4,1,3,1,3,Intimidate,,Reckless,,Yes,,Amateur,,,staravia.png,
398,0398,Staraptor,Normal,Flying,5,3,7,3,6,2,5,2,4,2,4,Intimidate,,Reckless,,,,Ace,,,staraptor.png,
399,0399,Bidoof,Normal,,3,2,4,1,3,1,3,1,3,1,3,Simple,Unaware,Moody,,Yes,,Starter,,,bidoof.png,Yes
400,0400,Bibarel,Normal,Water,4,2,5,2,5,2,4,2,4,2,4,Simple,Unaware,Moody,,,,Beginner,,,bibarel.png,
401,0401,Kricketot,Bug,,3,1,3,1,3,1,3,1,3,1,3,Shed Skin,,Run Away,,Yes,,Starter,,,kricketot.png,Yes
402,0402,Kricketune,Bug,,4,2,5,2,4,2,4,2,4,2,4,Swarm,,Technician,,,,Beginner,,,kricketune.png,
403,0403,Shinx,Electric,,3,2,4,2,4,1,3,1,3,1,3,Rivalry,Intimidate,Guts,,Yes,,Beginner,,,shinx.png,Yes
404,0404,Luxio,Electric,,4,2,5,2,4,2,4,2,4,2,4,Rivalry,Intimidate,Guts,,Yes,,Amateur,,,luxio.png,
405,0405,Luxray,Electric,,5,3,7,2,5,2,5,3,6,2,5,Rivalry,Intimidate,Guts,,,,Ace,,,luxray.png,
406,0406,Budew,Grass,Poison,3,1,3,2,4,1,3,2,4,2,5,Natural Cure,Poison Point,Leaf Guard,,Yes,,Starter,,,budew.png,Yes
407,0407,Roserade,Grass,Poison,5,2,5,2,5,2,4,3,7,3,6,Natural Cure,Poison Point,Technician,,,,Amateur,,,roserade.png,
408,0408,Cranidos,Rock,,3,3,7,2,4,1,3,1,3,1,3,Mold Breaker,,Sheer Force,,Yes,,Amateur,,,cranidos.png,
409,0409,Rampardos,Rock,,4,4,8,2,4,2,4,2,4,2,4,Mold Breaker,,Sheer Force,,,,Ace,,,rampardos.png,
410,0410,Shieldon,Rock,Steel,3,1,3,1,3,3,6,1,3,2,5,Sturdy,,Soundproof,,Yes,,Amateur,,,shieldon.png,
411,0411,Bastiodon,Rock,Steel,4,2,4,2,4,4,8,2,4,3,7,Sturdy,,Soundproof,,,,Ace,,,bastiodon.png,
412,0412,Burmy,Bug,,3,1,3,1,3,2,4,1,3,2,4,Shed Skin,,Overcoat,,Yes,Yes,Starter,,,burmy.png,Yes
413,0413,Grass Wormadam,Bug,Grass,4,2,4,1,3,3,6,2,5,2,5,Anticipation,,Overcoat,,,Yes,Beginner,F,,wormadam-trash.png,
413,0413F1,Steel Wormadam,Bug,Steel,4,2,4,1,3,3,6,2,4,2,6,Speed Boost,Compound Eyes,Overcoat,,,Yes,Beginner,F,,wormadam.png,
413,0413F2,Ground Wormadam,Bug,Ground,4,2,5,1,3,3,6,2,4,2,5,Speed Boost,Compound Eyes,Overcoat,,,Yes,Beginner,F,,wormadam.png,
414,0414,Mothim,Bug,Flying,4,3,6,2,4,2,4,3,6,2,4,Swarm,,Tinted Lens,,,,Amateur,M,,mothim.png,
415,0415,Combee,Bug,Flying,3,1,3,2,5,1,3,1,3,1,3,Honey Gather,,Hustle,,Yes,,Starter,,,combee.png,Yes
416,0416,Vespiquen,Bug,Flying,4,2,5,2,4,3,6,2,5,3,6,Pressure,,Unnerve,,,,Ace,F,,vespiquen.png,
417,0417,Pachirisu,Electric,,4,2,4,3,6,2,5,2,4,2,5,Run Away,Pickup,Volt Absorb,,,,Beginner,,,pachirisu.png,
418,0418,Buizel,Water,,3,2,4,2,5,1,3,2,4,1,3,Swift Swim,,Water Veil,,Yes,,Beginner,,,buizel.png,Yes
419,0419,Floatzel,Water,,4,3,6,3,6,2,4,2,5,2,4,Swift Swim,,Water Veil,,,,Amateur,,,floatzel.png,
420,0420,Cherubi,Grass,,3,1,3,1,3,2,4,2,4,2,4,Chlorophyll,,,,Yes,,Starter,,,cherubi.png,Yes
421,0421,Cherrim,Grass,,4,2,4,2,5,2,5,2,5,2,5,Flower Gift,,,,,Yes,Beginner,,,cherrim.png,
422,0422,Shellos,Water,,3,2,4,1,3,2,4,2,4,2,4,Sticky Hold,Storm Drain,Sand Force,,Yes,Yes,Beginner,,,shellos.png,Yes
423,0423,Gastrodon,Water,Ground,6,2,5,1,3,2,4,2,5,2,5,Sticky Hold,Storm Drain,Sand Force,,,Yes,Amateur,,,gastrodon.png,
424,0424,Ambipom,Normal,,4,3,6,3,6,2,4,2,4,2,4,Technician,Pickup,Skill Link,,,,Amateur,,,ambipom.png,
425,0425,Drifloon,Ghost,Flying,3,2,4,2,5,1,3,2,4,2,4,Aftermath,Unburden,Flare Boost,,Yes,,Amateur,,,drifloon.png,Yes
426,0426,Drifblim,Ghost,Flying,7,2,5,2,5,1,3,2,5,2,4,Aftermath,Unburden,Flare Boost,,,,Ace,,,drifblim.png,
427,0427,Buneary,Normal,,3,2,4,2,5,1,3,1,3,2,4,Run Away,Klutz,Limber,,Yes,,Starter,,,buneary.png,Yes
428,0428,Lopunny,Normal,,4,2,5,3,6,2,5,2,4,3,6,Cute Charm,Klutz,Limber,,,Yes,Amateur,,,lopunny.png,
428,0428M1,Mega-Lopunny,Normal,Fighting,5,3,7,3,7,3,6,2,4,3,6,Scrappy,,,,,Yes,Ace,,,lopunny-mega.png,
429,0429,Mismagius,Ghost,,4,2,4,3,6,2,4,3,6,3,6,Levitate,,,,,,Ace,,,mismagius.png,
430,0430,Honchkrow,Dark,Flying,5,3,7,2,5,2,4,3,6,2,4,Insomnia,Super Luck,Moxie,,,,Amateur,,,honchkrow.png,
431,0431,Glameow,Normal,,3,2,4,2,5,1,3,1,3,1,3,Limber,Own Tempo,Keen Eye,,Yes,,Starter,,,glameow.png,Yes
432,0432,Purugly,Normal,,4,2,5,3,6,2,4,2,4,2,4,Thick Fat,Own Tempo,Defiant,,,,Amateur,,,purugly.png,
433,0433,Chingling,Psychic,,3,1,3,2,4,2,4,2,4,2,4,Levitate,,,,Yes,,Starter,,,chingling.png,Yes
434,0434,Stunky,Poison,Dark,3,2,4,2,4,2,4,1,3,1,3,Stench,Aftermath,Keen Eye,,Yes,,Beginner,,,stunky.png,Yes
435,0435,Skuntank,Poison,Dark,5,2,5,2,5,2,4,2,5,2,4,Stench,Aftermath,Keen Eye,,,,Amateur,,,skuntank.png,
436,0436,Bronzor,Steel,Psychic,3,1,3,1,3,2,5,1,3,2,5,Levitate,Heatproof,Heavy Metal,,Yes,,Beginner,N,,bronzor.png,Yes
437,0437,Bronzong,Steel,Psychic,4,2,5,1,3,3,6,2,5,3,6,Levitate,Heatproof,Heavy Metal,,,,Ace,N,,bronzor.png,
438,0438,Bonsly,Rock,,3,2,5,1,2,3,6,1,2,2,4,Sturdy,Rock Head,Rattled,,Yes,,Starter,,,bonsly.png,Yes
439,0439,Mime Jr.,Psychic,Fairy,3,1,3,2,4,2,4,2,5,2,5,Soundproof,Filter,Technician,,Yes,,Starter,,,mime-jr.png,Yes
440,0440,Happiny,Normal,,4,1,2,1,3,1,2,1,2,1,3,Natural Cure,Serene Grace,Friend Guard,,Yes,,Starter,F,,happiny.png,Yes
441,0441,Chatot,Normal,Flying,4,2,4,2,5,2,4,2,5,2,4,Keen Eye,Tangled Feet,Big Pecks,,,Yes,Amateur,,,chatot.png,
442,0442,Spiritomb,Ghost,Dark,4,2,5,1,3,3,6,2,5,3,6,Pressure,,Infiltrator,,,Yes,Pro,,,spiritomb.png,
443,0443,Gible,Dragon,Ground,3,2,5,1,3,2,4,1,3,2,4,Sand Veil,,Rough Skin,,Yes,,Amateur,,,gible.png,Yes
444,0444,Gabite,Dragon,Ground,4,2,5,2,5,2,4,2,4,2,4,Sand Veil,,Rough Skin,,Yes,,Ace,,,gabite.png,
445,0445,Garchomp,Dragon,Ground,6,3,7,3,6,3,6,2,5,2,5,Sand Veil,,Rough Skin,,,Yes,Pro,,,garchomp.png,
445,0445M1,Mega-Garchomp,Dragon,Ground,7,4,9,2,5,3,6,3,7,3,6,Sand Force,,,,,,Master,,,garchomp-mega.png,
446,0446,Munchlax,Normal,,5,2,5,1,2,1,3,1,3,2,5,Pickup,Thick Fat,Gluttony,,Yes,,Beginner,,,munchlax.png,Yes
447,0447,Riolu,Fighting,,3,2,5,2,4,1,3,1,3,1,3,Steadfast,Inner Focus,Prankster,,Yes,,Amateur,,,riolu.png,Yes
448,0448,Lucario,Fighting,Steel,4,3,6,2,5,2,5,3,6,2,5,Steadfast,Inner Focus,Justified,,,Yes,Ace,,,lucario.png,
448,0448M1,Mega-Lucario,Fighting,Steel,5,4,8,3,6,2,5,3,7,2,5,Adaptability,,,,,,Pro,,,lucario-mega.png,
449,0449,Hippopotas,Ground,,3,2,5,1,3,2,5,1,3,1,3,Sand Stream,,Sand Force,,Yes,,Amateur,,,hippopotas.png,Yes
450,0450,Hippowdon,Ground,,5,3,6,2,4,3,6,2,4,2,5,Sand Stream,,Sand Force,,,,Ace,,,hippowdon.png,
451,0451,Skorupi,Poison,Bug,3,2,4,2,4,2,5,1,3,2,4,Battle Armor,Sniper,Keen Eye,,Yes,,Beginner,,,skorupi.png,Yes
452,0452,Drapion,Poison,Dark,4,2,5,3,6,3,6,2,4,2,5,Battle Armor,Sniper,Keen Eye,,,,Ace,,,drapion.png,
453,0453,Croagunk,Poison,Fighting,3,2,4,2,4,1,3,2,4,1,3,Anticipation,Dry Skin,Poison Touch,,Yes,,Beginner,,,croagunk.png,Yes
454,0454,Toxicroak,Poison,Fighting,4,3,6,2,5,2,4,2,5,2,4,Anticipation,Dry Skin,Poison Touch,,,,Amateur,,,toxicroak.png,
455,0455,Carnivine,Grass,,4,3,6,2,4,2,5,2,5,2,5,Levitate,,,,,,Amateur,,,carnivine.png,
456,0456,Finneon,Water,,3,2,4,2,4,2,4,2,4,2,4,Swift Swim,Storm Drain,Water Veil,,Yes,,Beginner,,,finneon.png,Yes
457,0457,Lumineon,Water,,4,2,5,2,5,2,5,2,5,2,5,Swift Swim,Storm Drain,Water Veil,,,,Amateur,,,lumineon.png,
