Name,Type,DmgType,Power,Damage1,Damage2,Accuracy1,Accuracy2,Target,Effect,Description
Trick-Or-Treat,ghost,Support,0,,,Will,Allure,Foe,"Add the Ghost type to Target's Type. (ie. Meowth will now by Normal/Ghost Charizard will now be Fire/Flying/Ghost) If the Pokemon already has a third type attached, replace it.",The Pokemon takes the target Trick-or-Treating. The target gets a ghost costume which somehow cannot be removed without a medium's help.
Absorb,grass,Special,1,Special,,Dexterity,Channel,Foe,The user restores HP equal to half the damage dealt rounded down.,The user absorbs the vital energy of the foe.
Apple Acid,grass,Special,3,Special,,Dexterity,Channel,Foe,Reduce the Foe's Sp. Defense.,"The Pokemon produces a sap from the tart apples it feeds on, if the apples, this sap is acidic and bad for your teeth."
Aromatherapy,grass,Support,0,,,Insight,Nature,User and Allies,"Cure User and Allies from Burn, Freeze, Paralysis, Poison, or Sleep.",The Pokemon releases medicinal scents and vapors to refresh the user and its allies.
Branch Poke,grass,Physical,2,Strength,,Dexterity,Brawl,Foe,-,The Pokemon rudely starts poking its foe with a stick.
Bullet Seed,grass,Physical,1,Strength,,Dexterity,Brawl,Foe,Ranged. Successive Actions.,The Pokemon shoots seeds rapidly as if they were bullets.
Cotton Guard,grass,Support,0,,,Insight,Channel,Foe,Increase the User's Defense by 3.,The user covers itself in cotton puffs that severely reduce the impact of physical attacks.
Cotton Spore,grass,Support,0,,,Insight,Channel,Foe,Reduce foe's Dexterity by 2.,"The Pokemon covers the foe in cotton, disrupting its movement speed."
Drum Beating,grass,Physical,3,Strength,,Dexterity,Perform,Foe,Reduce the Foe's Dexterity,The Pokemon has a perfectly good drum and you'd think it would use it. But it doesn't. It uses it's foe.
Energy Ball,grass,Special,3,Special,,Dexterity,Channel,Foe,Roll 1 Chance Dice to Reduce foe's Sp. Defense.,The Pokemon gathers nature's energy in a ball and hurls it at the foe. Trees and bushes may be left opaque and sad.
Forest's Curse,grass,Support,0,,,Will,Nature,Foe,Add the Grass Type to the Target's Type (ie. Nidoran will now be Poison/Grass Heracross will now be Bug/Fight/Grass). If the Pokemon already has a third type attached then replace it.,"The user calls the forest to lay a curse upon the target, making it grow vines and vegetation around its whole body. The curse will not be easily lifted without a medium's help."
Frenzy Plant,grass,Special,6,Special,,Special,Channel,Foe,Must Recharge. -1 Accuracy.,"The user roots down and calls the plants to grow in a frenzy around the foe, though it leaves the user exhausted."
Giga Drain,grass,Special,3,Special,,Dexterity,Channel,Foe,"The user restores HP equal to half the damage dealt, rounded down.",The Pokemon extracts a great amount of vital energy from the foe's body.
Grass Knot,grass,Special,1,Special,,Dexterity,Channel,Foe,"Add 1 Extra Dice to the Damage Pool for every 50 kgs. of weight on the foe, up to +4 Extra Dice.","The user snares the target's feet with grass, making it fall to the ground. The bigger the foe the harder the fall."
Grass Pledge,grass,Special,2,Special,,Dexterity,Channel,Battlefield and Area,Reduce the Dexterity of those affected.,The Pokemon chants to invoke the power of Grass. Its pledge is heard then then soil trembles and the ground crumbles as vegetation rises to grapple anyone in the field.
Grass Whistle,grass,Support,0,,,Special,Perform,Foe,Sound Based. Put the Target to Sleep. -3 Accuracy.,The user plays a beautiful and soothing melody that lulls the target into a peaceful sleep.
Grassy Terrain,grass,Support,0,,,Special,Nature,Battlefield,"If successful, spend 1 Will point to activate. Everyone in the user's side of the field heals 1 HP at the end of each round. Add 1 Extra Dice to the Damage Rolls of Grass Type Moves.",The Pokemon calls upon the healing power of nature to grow a patch of miraculous grass on its side of the battlefield.
Grav Apple,grass,Physical,3,Strength,,Dexterity,Channel,Foe,Ranged. Reduce the Foe's Defense.,"The Pokemon rises on top of its foe and drops an apple on their head. The foe proceeds to eat the apple, distracting it from the fight."
Horn Leech,grass,Physical,3,Strength,,Dexterity,Brawl,Foe,"The User restores HP equal to half the damage dealt, rounded down.",The user rams the foe and absorbs some of its vital energy with its horns.
Ingrain,grass,Support,0,,,Special,Nature,User,User Heals 1 HP at the end of every Round. While this move is active the User is now Blocked.,"The Pokemon roots itself to the ground, absorbing the nutrients and recovering health."
Leaf Blade,grass,Physical,3,Strength,,Dexterity,Brawl,Foe,Lethal. High Critical.,The Pokemon uses the sharp leaves on its body to cut through the foe.
Leaf Storm,grass,Special,6,Special,,Special,Channel,Foe,Reduce the User's Special by 2. -1 Accuracy.,A furious storm of sharp leaves swirls and pierces the target. The user is left exhausted.
Leaf Tornado,grass,Special,2,Special,,Dexterity,Channel,Foe,Roll 5 Chance Dice to Reduce the Foe's Accuracy. -1 Accuracy.,A bush worth of sharp leaves swirls around the foe making it harder for it to aim attacks properly.
Leafage,grass,Physical,2,Strength,,Dexterity,Brawl,Foe,Ranged.,The user throws leaf darts towards its foe.
Leech Seed,grass,Support,0,,,Special,Nature,Foe,"If successful spend 1 Will point to activate. At the end of each Round, Roll 1 Dice of Damage to the foe. User heals for 1 HP for every damage dealt this way. Grass Type Pokemon are immune to this Move. -1 Accuracy.","The user plants some seeds on the target, the seeds sprout and restore the user's health by absorbing the foe's vital energy."
Magical Leaf,grass,Special,2,Special,,Dexterity,Channel,Foe,Never Fail.,The user sends out a floating leaf that will pursue the target until it hits.
Mega Drain,grass,Special,2,Special,,Dexterity,Channel,Foe,"The user restores HP equal to half the damage dealt, rounded down.",The user absorbs a big amount of vital energy from the target.
Needle Arm,grass,Physical,2,Strength,,Dexterity,Brawl,Foe,Roll 3 Chance Dice to Flinch the Foe.,"The Pokemon hits the foe with its flailing arms, some thorns may get stuck on the target like needles."
Petal Blizzard,grass,Physical,3,Strength,,Dexterity,Brawl,Area,-,"The Pokemon showers the battlefield with a raging blizzard of petals and leaves, anyone close to the user will suffer the consequences."
Petal Dance,grass,Special,5,Special,,Special,Channel,Random Foe,Rampage.,"The Pokemon starts swirling petals around in a true display of nature's power, the petals are guided by the wind to strike the foe."
Power Whip,grass,Physical,5,Strength,,Dexterity,Brawl,Foe,-2 Accuracy.,"The Pokemon violently lashes the foe with its vines or a part of its body, acting as a powerful whip."
Razor Leaf,grass,Physical,2,Strength,,Dexterity,Brawl,All Foes,Ranged. High Critical.,The Pokemon shoots one or more sharp leaves that cut through all targets as if they were razors.
Sappy Seed,grass,Physical,3,Strength,,Special,Brawl,Foe,"At the end of the Round, Roll 1 Die of Damage to the foe. Restore 1 HP to the user for every damage dealt this way. If the user of this Move is at its Final Stage of Evolution, this move fails. -1 Accuracy.","From a magical bean, the user grows a cute stalk that will attach itself to the nearest target. Once it ingrains, it will grow and grow and grow until it reaches the sky."
Seed Bomb,grass,Physical,3,Strength,,Dexterity,Brawl,Foe,Ranged.,The user throws a big seed that explodes on contact with the foe.
Seed Flare,grass,Special,5,Special,,Special,Channel,Foe,Lethal. Roll 4 Chance Dice to Reduce the foe's Sp. Defense by 2.,"Shaymin releases an explosion of pollen and seeds that the foe cannot shake off, leaving it vulnerable. Over time, these seeds will grow into gigantic trees of life."
Sleep Powder,grass,Support,0,,,Special,Nature,Foe,Put the Target to Sleep. -2 Accuracy.,"The user scatters powder around, anyone who comes in contact with it will fall asleep."
Snap Trap,grass,Physical,2,Strength,,Dexterity,Stealth,Foe,Target is Blocked for the Next 4 Rounds.,"The user is so flat that you can barely see it in the tall grass, it is just waiting for its foe to get close enough to use its body as a snare trap."
Solar Beam,grass,Special,5,Special,,Special,Channel,Foe,"Charge Move. If there is a Sunny Weather, you skip this Move's Charge action. If performed under Rain, Sandstorm, or Hail Weather, this Move takes two actions to Charge.",The user focuses the sunlight it has absorbed into a powerful and devastating beam of light.
Solar Blade,grass,Physical,5,Strength,,Strength,Brawl,Foe,"Charge Move. If there is a Sunny Weather, you skip this Move's Charge action. If performed under Rain, Sandstorm, or Hail Weather, this Move takes two actions to Charge.","The Pokemon focuses the sunlight on its sharp leaves, then releases the energy with a shattering block."
Spiky Shield,grass,Support,0,,,Dexterity,Brawl,User,Priority 3. Shield. Reduce 3 Damage from the next attack and deal 2 Damage Dice to the attacker if it used a physical non-ranged Move.,"The Pokemon covers itself with a thorn filled shell, the foe will be damaged if it hits directly into it."
Spore,grass,Support,0,,,Special,Nature,Foe,Put the Target to Sleep.,A powerful somniferous spore that is shot at the target to make it fall asleep.
Strength Sap,grass,Support,0,,,Insight,Nature,Foe,Reduce Foe's Strength. User Heals HP equal to the Foe's Current Strength Score. Healing in-battle limitations apply.,"The Pokemon looks for a weak spot on its foe, then feeds on its vital energy. The foe is left feeling feeble."
Stun Spore,grass,Support,0,,,Special,Nature,Foe,Paralyze the Foe. -2 Accuracy.,A blow of dust that paralyzes the target on the spot and cramps its muscles.
Synthesis,grass,Support,0,,,Special,Nature,User,Basic Heal. If Successful spend 1 Will point to activate. If performed under Sunny weather this Move is a Complete Heal. If Rain/Sandstorm Weather is in effect this move only heals 1 HP.,The Pokemon uses the sunlight as energy to regain its vitality.
Trop Kick,grass,Physical,3,Strength,,Dexterity,Brawl,Foe,Reduce Foe's Strength.,The user strikes with an intense and alluring kick.
Vine Whip,grass,Physical,2,Strength,,Dexterity,Brawl,Foe,-,They Pokemon uses its slender vines as a whip against the foe. They are as long as 20 feet.
Wood Hammer,grass,Physical,5,Strength,,Strength,Brawl,Foe,Recoil.,"The Pokemon recklessly slams the foe with a part of its rugged body, the user also gets hurt in the process."
Worry Seed,grass,Support,0,,,Special,Nature,Foe,"Until the end of the Scene. Target's Ability is now ""Insomnia"".",The user plants a seed in its foe. It causes a restless preoccupation that won't let it sleep at night.
Bone Club,ground,Physical,2,Strength,,Dexterity,Brawl,Foe,Roll 2 Chance Dice to Flinch the Foe. -2 Accuracy.,"The user hits the target with a bone, the smack may leave a bump on the target's head."
Bone Rush,ground,Physical,1,Strength,,Dexterity,Brawl,Foe,Successive Actions. -1 Accuracy.,"The user quickly strikes the foe with a bone, one blow after another."
Bonemerang,ground,Physical,2,Strength,,Dexterity,Brawl,Foe,Ranged. Double Action. -1 Accuracy.,"The Pokemon throws a bone to hit the foe. The bone returns like a boomerang, striking a second time."
Bulldoze,ground,Physical,2,Strength,,Dexterity,Brawl,Area,Reduce the Dexterity of those affected.,"The user stomps and tramples the place, breaking stones, trees, and everything nearby."
Dig,ground,Physical,3,Strength,,Dexterity,Brawl,Foe,"Charge Move. While charging this move, the User will be out of range. Can be hit by Earthquake, Magnitude, or a similar move.",The user digs a tunnel on the ground and attacks while coming out from below.
Drill Run,ground,Physical,3,Strength,,Dexterity,Brawl,Foe,High Critical.,The user rotates its body imitating a drill and crashes against the foe. This attack may pierce through walls and floors with ease and great precision.
Earth Power,ground,Special,3,Special,,Dexterity,Channel,Foe,Roll 1 Chance Dice to Reduce the foe's Sp. Defense.,The user sends out a subterranean wave that bursts on the ground bellow the target. It looks like the earth molds to the Pokemon's will.
Earthquake,ground,Physical,4,Strength,,Dexterity,Brawl,Area,Area Attack. Ranged.,"The Pokemon focuses its energy into shaking the ground, everyone around will be thrown like a rag doll."
Fissure,ground,Physical,0,,,Strength,Brawl,Foe,Ranged. Deal damage to the Target equal to their remaining HP plus 1 lethal damage. -5 Accuracy.,The user tears the ground apart in a monstrous display of force. If the foe falls through the fissure it might need a rescue team to get it out.
High Horsepower,ground,Physical,3,Strength,,Dexterity,Brawl,Foe,-,The Pokemon rushes towards its target and tramples it without mercy.
Land's Wrath,ground,Physical,3,Strength,,Strength,Channel,All Foes,Lethal. Ranged. All Foes in Range.,"The earth moves on its own, no attacker in sight. The floor crumbles and the ground shakes while engulfing its victims. From the rubble, lush trees emerge a short time after."
Magnitude,ground,Physical,0,Strength,,Dexterity,Brawl,Area,Ranged. 1 Dice to determine this Move's Power,The user quakes the ground plates. Some plates will move easier than others.
Mud Bomb,ground,Special,2,Special,,Dexterity,Channel,Foe,Roll 3 Chance Dice to Reduce the Foe's Accuracy. -2 Accuracy.,"The Pokemon shoots a ball made of mud that bursts on the target, some mud may get on its eyes."
Mud Shot,ground,Special,2,Special,,Dexterity,Channel,Foe,Reduce the Foe's Dexterity.,"The Pokemon shoots a stream of mud that covers the foe, obstructing its movement."
Mud Slap,ground,Special,1,Special,,Dexterity,Channel,Foe,Reduce the foe's Accuracy.,"The user hurls some mud to the face of the foe, leaving it unable to see clearly."
Mud Sport,ground,Support,0,,,Special,Nature,Battlefield,For the next 4 Rounds Electric Type attacks won't add their Power to the Damage Pool.,"The user covers everything with mud, reducing the effectiveness of electric attacks made on the field."
Precipice Blades,ground,Physical,5,Strength,,Strength,Channel,All Foes,Lethal. Ranged. -2 Accuracy.,"Giant blades emerge from the earth with every step of the user. If you fall into them, they are almost impossible to survive."
Rototiller,ground,Support,0,,,Special,Nature,Battlefield,Increase the Strength and Special of all Grass Type Pokemon in the battlefield.,The Pokemon digs around and moves the soil to make it ideal for plant growth.
Sand Attack,ground,Support,0,,,Dexterity,Channel,Foe,Reduce the foe's Accuracy.,The user shoots some sand into the opponent's eyes.
Sand Tomb,ground,Physical,2,Strength,,Dexterity,Brawl,Foe,Ranged. Block. Roll 2 Dice of Damage against the foe at the end of every Round. Lasts 4 Rounds. -2 Accuracy.,"The Pokemon creates a shifting sand pit around the foe, leaving it unable to escape."
Shore Up,ground,Support,0,,,Insight,Nature,User,"Basic Heal. If performed under Sandstorm weather, this move is a Complete Heal.",The Pokemon gathers the sand around itself to restore its body to shape.
Spikes,ground,Support,0,,,Special,Nature,Battlefield,"Foe Pokemon that enter the battlefield will lose 1 HP, this effect does not stack. Pokemon with the Levitate ability and Flying Type Pokemon are immune to this effect. Entry Hazard.",The Pokemon shoots pointy pebbles or thorns around the field that deal damage to anyone coming from that side.
Stomping Tantrum,ground,Physical,3,Strength,,Dexterity,Brawl,Foe,Add 2 Extra Dice to the Damage Pool of this move is the User failed the Accuracy Roll of the last Move it performed.,"The Pokemon throws a tantrum all over the place, it becomes worse if something has frustrated it earlier."
Thousand Arrows,ground,Physical,3,Strength,,Strength,Channel,All Foes,"Lethal. Ranged. All Foes in Range. If successful, Flying and Levitating Pokemon can be hit by Ground-Type Moves for the rest of the scene.","Out of nowhere, pointy shards come raining from the sky towards the foes, even flying creatures will fall to the ground if they are knocked by them. Take cover, this is gonna hurt."
Thousand Waves,ground,Physical,3,Strength,,Special,Brawl,All Foes,Blocks. Ranged. All Foes in Range.,"Solid ground becomes a sandtrap, cracked earth will close to ensnare your feet. It's as it the land itself wanted to trap you. There is no attacker nor escape in sight."
Aurora Beam,ice,Special,2,Special,,Dexterity,Channel,Foe,Roll 1 Chance Dice to Reduce foe's Strength.,The Pokemon shoots a beautiful rainbow colored beam that may leave the foe flabbergasted.
Aurora Veil,ice,Support,0,,,Special,Channel,User and Allies,User and Allies will receive 1 less Damage from both Physical and Special Attacks. This move will fail if not performed under Hail Weather. Lasts until Hail Weather is over.,"Aurora lights and hail spin around the Pokemon and its Allies, deflecting attacks."
Avalanche,ice,Physical,2,Strength,,Dexterity,Brawl,Foe,"Low Priority 4. If the user received damage from the target this Round, Add 2 Extra Dice to the Damage Pool.","The user builds up a lot of snow around itself. If anything disturbs the snow, it will fall on the attacker like an avalanche."
Blizzard,ice,Special,5,Special,,Special,Channel,All Foes,Roll 1 Chance Dice to Freeze those affected. If performed under Hail Weather Ignore this moves Reduced Accuracy and the Move can't be evaded. If performed under Sunny Weather Accuracy becomes -3 instead. -2 Accuracy.,"The user swirls a violent gelid wind around the foes. This blizzard may not last long, but it is tremendously strong."
Freeze Dry,ice,Special,3,Special,,Dexterity,Channel,Foe,Water type Pokemon are dealt 2 Extra Damage.,"The user freezes all moisture in the environment, water type Pokemon suffer greatly."
Freeze Shock,ice,Physical,6,Strength,,Special,Channel,Foe,Lethal. Ranged. Charge Move. Roll 3 Chance Dice to Paralyze the Foe. -1 Accuracy.,"The user appears to become a block of ice, then it releases itself from the ice with a devastating discharge. The exploding ice shards and the lightning fly all over the battlefield."
Freezy Frost,ice,Special,3,Special,,Special,Channel,Foe,"If successful, remove all Increased or Reduced Attributes and Traits the Foe may have. If the user of this Move is at its Final Stage of Evolution, this move fails. -1 Accuracy.","The user touches its foe while playing ""Freeze!"". Surprisingly, the foe becomes frozen on a block of ice. Once they realize they were just playing pretend the ice dissolves into haze."
Frost Breath,ice,Special,2,Special,,Dexterity,Channel,Foe,This Move is always a Critical Hit and it gets the proper bonus for it. -1 Accuracy.,The user shoots a gelid breath against the target that sends a chill through the spine. The sudden change of temperature can bring anyone to its knees.
Glaciate,ice,Special,2,Special,,Dexterity,Channel,All Foes,Lethal. All Foes in Range. Reduce the Dexterity of those affected.,"The air is so cold it hurts to move, to see, to breath. Escaping should be your top priority, for every second you don't your life will be at peril."
Hail,ice,Support,0,,,Special,Nature,Battlefield,Hail Weather is activated for the next 4 Rounds.,The user summons a hailstorm that will stay on the battlefield for some time.
Haze,ice,Support,0,,,Special,Nature,Battlefield,Remove all Increased or Reduced Attributes and Traits on everyone on the Battlefield.,The user sends out a haze that disturbs all the Pokemon engaged in battle. It may conceal whoever is inside.
Ice Ball,ice,Physical,1,Strength,,Dexterity,Brawl,Foe,"Successive Actions. Add 1 Extra Dice to the Damage Roll of the last Ice Ball hit the user performes. If the Pokemon used Defense Curl this Round, add 1 Extra Dice to the Damage Roll of every hit. -1 Accuracy.","The user curls into a snowball, rolling against the foe. The ball grows bigger as it rolls."
Ice Beam,ice,Special,3,Special,,Dexterity,Channel,Foe,Roll 1 Chance Dice to Freeze the Foe.,The user shoots a freezing ray that greatly lowers the temperature of anything it hits.
Ice Burn,ice,Special,6,Special,,Special,Channel,Foe,Lethal. Ranged. Charge Move. Roll 3 Chance Dice to Burn the Foe. -1 Accuracy.,"The user appears to become a block of ice, then it releases itself from the ice with a devastating explosion. The exploding ice shards and fire blow all over the battlefield."
Ice Fang,ice,Physical,2,Strength,,Dexterity,Brawl,Foe,Roll 2 Chance Dice to Flinch the foe. Roll 2 Chance Dice to Freeze the foe. -1 Accuracy.,The user bites the foe and releases a gelid breath through its mouth.
Ice Hammer,ice,Physical,4,Strength,,Strength,Brawl,Foe,Reduce User's Dexterity. -1 Accuracy.,The Pokemon uses its powerful gelid arms and strikes the foe with a swinging motion.
Ice Punch,ice,Physical,3,Strength,,Dexterity,Brawl,Foe,Fist Based. Roll 1 Chance Dice to Freeze the foe.,The Pokemon delivers a strike covered in ice. The user's hands can freeze anything they touch.
Ice Shard,ice,Physical,2,Strength,,Dexterity,Brawl,Foe,Ranged. Priority 1.,The user quickly freezes some bits of ice and throws them at the target.
Icicle Crash,ice,Physical,3,Strength,,Dexterity,Brawl,Foe,Roll 3 Chance Dice to Flinch the Foe. -1 Accuracy.,"The user drops a big icicle over the foe, the impact may leave the opponent dazed."
Icicle Spear,ice,Physical,1,Strength,,Dexterity,Brawl,Foe,Ranged. Successive Actions.,The user launches a wave of small but pointy icicles towards the target.
Icy Wind,ice,Special,2,Special,,Dexterity,Channel,All Foes,Reduce Dexterity of those affected.,"A breeze so cold that it chills you to the bone, making it harder to move."
Mist,ice,Support,0,,,Special,Nature,User and Allies,"For the next 4 Rounds, the User and Allies cannot have their Attributes or Traits reduced.","The user cloaks itself and its allies within cold mist with mystic properties, it may conceal whoever is nearby."
Powder Snow,ice,Special,2,Special,,Dexterity,Channel,All Foes,Roll 1 Chance Dice to Freeze those affected.,The user sends out a wind current full of snowflakes that freeze whatever they touch. This powder can easily turn a room to ice.
Sheer Cold,ice,Special,0,,,Special,Channel,Foe,Deal damage to the Target equal to its remaining HP plus 1 Lethal Damage. -5 Accuracy.,The user freezes the foe from the inside out. Victims of this attack will need urgent medical attention.
Acupressure,normal,Support,0,,,Dexterity,Nature,User,"Increase a Random Attribute. If this Move is used again, the previous Attribute Modifier is removed.","The user starts pushing its pressure points, releasing the energy that was stored in its body."
After You,normal,Support,0,,,Cool,Etiquette,One Ally,The Target will go first in the order of Initiative. Lasts for the rest of this Battle.,The user bows and courteously lets an ally or foe use their action first.
Assist,normal,Support,0,,,Clever,Perform,One Ally,Choose one Move known by a random member of your party. You performed that Move using the Accuracy roll from Assist.,The Pokemon hurriedly remembers one action performed by a partner. Some Pokemon can even do what a human does and assist him with any tasks.
Attract,normal,Support,0,,,Beauty,Allure,Foe,"If Successful, Target is now In Love. This Move fails if target is from same gender as the User or genderless.",The user makes use of its good looks and attitude to infatuate its foe.
Barrage,normal,Physical,1,Strength,,Dexterity,Brawl,Foe,Ranged. Successive Actions. -1 Accuracy.,"The Pokemon Throws many round objects at the target, one after the other."
Baton Pass,normal,Support,0,,,Special,Channel,User,Switcher Move. User switches out with another Pokemon. Any Attribute increase on the user is passed on the next Pokemon. The user can’t increase its Attributes again until the end of the scene.,"The user stores part of its power on a twig or a stick, anyone who touch the item will receive its might."
Belly Drum,normal,Support,0,,,Tough,Perform,User,User deals Damage to itself equal to Half of its total HP rounded down. Increase User's Strength by 3.,The Pokemon Roars a war cry while hitting its Belly.
Bestow,normal,Support,0,,,Cool,Etiquette,Foe,"If target is not holding an Item, the User gives its own.","The Pokemon respectfully offers an item, the target will take it and keep it to be polite."
Bide,normal,Physical,0,,,Dexterity,Brawl,Foe,"The User will take the next 2 hits. After those two attacks, you may use this Move again to retaliate with Strength + Twice the Damage Received from those 2 hits.",The user endures the hit then unleashes an attack even greater.
Bind,normal,Physical,1,Strength,,Dexterity,Brawl,Foe,Block. Deal 2 dice of damage at the end of each Round. Lasts 4 Rounds. -2 Accuracy.,"The Pokemon uses its body to bind the foe, restraining and squeezing it."
Block,normal,Support,0,,,Dexterity,Brawl,Foe,Blocks.,"The user moves swiftly, blocking the escape routes of the foe."
Body Slam,normal,Physical,3,Strength,,Dexterity,Brawl,Foe,Roll 3 Chance Dice to Paralyze the foe.,"The user charges against the foe using its body to knock it down, leaving the target stunned."
Boomburst,normal,Special,6,Special,,Dexterity,Channel,Area,Sound Based.,The user creates an explosive sound that deafens everyone in the battlefield.
Camouflage,normal,Support,0,,,Special,Nature,User,"For the rest of the scene the User changes type to one that fits the terrain it is in (i.e. Usar is in a rocky cave, becoming rock type)","The user mimics the environment, it becomes one with the surroundings."
Captivate,normal,Support,0,,,Beauty,Allure,All Foes,"If the affected targets are from the opposite gender, Reduce their Special by 2.","The Pokemon shows off its attractiveness and even flirts with the opponents, those who fall for its charms can’t focus on the battle."
Chip Away,normal,Physical,3,Strength,,Dexterity,Brawl,Foe,This attack ignores Defense and Evasion modifiers on the foe.,The user looks for an opening and strikes directly there. It nibbles bit by bit even the toughest of surfaces.
Comet Punch,normal,Physical,1,Strength,,Dexterity,Brawl,Foe,Successive Actions. Fist Based.,The user throws a quick series of punches at the foe.
Confide,normal,Support,0,,,Cute,Allure,Foe,Reduce the foes' Special.,The Pokemon tells a secret to the target. The foe loses its ability to concentrate.
Constrict,normal,Physical,1,Strength,,Dexterity,Brawl,Foe,Blocks. Roll 2 Dice of Damage against the foe at the end of each Round. Lasts 4 Rounds.,The Pokemon uses its body to hold and constrict the foe. It won't let go easily.
Conversion,normal,Support,0,,,Will,Channel,User,The user changes its type at random.,The Pokemon downloads the data of a Move to add it to its code.
Conversion 2,normal,Support,0,,,Will,Channel,User,"After being dealt damage, choose a Type resistant to the Type of that attack. That's the Type of the User until it uses this Move again.",The Pokemon downloads the data of a move that was used against it. Change the code of the user to a type resistant to the that move.
Copycat,normal,Support,0,Same as the copied move,,Same as the copied move,,Foe,Copies the last move the foe has performed.,The user will closely watch the movements of the target and will imitate them to perfection.
Court Change,normal,Support,0,,,Clever,Etiquette,Battlefield,"Swap any Barriers (i.e.Light Screen, Reflect etc.), Entry Hazards (i.e. Toxic Spikes, Sticky Web etc.) and Effects on the foe's side of the field (i.e. Tailwind, Grassy Terrain etc.) for the one's on the User's side.","The Pokemon signals the referee for half-time, the referee complies and both parties swap their sides of the field. Wait. Did we forget something?"
Covet,normal,Physical,2,Strength,,Clever,Stealth,Foe,"If the user is not holding an item, Steal the target's Held Item.","The User approaches with caution, deals a quick strike and takes the chance to steal the target's item."
Crush Claw,normal,Physical,3,Strength,,Dexterity,Brawl,Foe,Roll 5 Chance Dice to Reduce the target's Defense by 2. Lethal.,"The user crushes its claws against the foe, it may pierce the skin of the foe."
Crush Grip,normal,Physical,1,Strength,,Strength,Brawl,Foe,"Lethal. If the foe has a Base HP higher than 3, add 1 Die to the Damage pool for every exceeding point. Up to 9 Dice may be added this way",The Pokemon grips the foe and starts crushing it. Small targets are difficult to grasp but larger bodies will not be released until they break.
Cut,normal,Physical,2,Strength,,Dexterity,Brawl,Foe,May be used to cut down trees and clear paths.,A slim but precise cut that may slice through anything.
Defense Curl,normal,Support,0,,,Vitality,Brawl,User,Increase the User's Defense.,The user curls like a ball to protect against most threats.
Disable,normal,Support,0,,,Insight,Channel,Foe,The Target cannot use the last move it performed. Lasts 4 Rounds.,"The user hits a nerve on the foe, impeding it from performing its previous action for a short while."
Dizzy Punch,normal,Physical,3,Strength,,Dexterity,Brawl,Foe,Roll 2 Chance Dice to Confuse the foe. Fist Based.,A swift punch to the jaw that spins the target and may leave it quite dizzy and disoriented.
Double Hit,normal,Physical,2,Strength,,Dexterity,Brawl,Foe,Double Action. -1 Accuracy.,The Pokemon uses the classic 'One-Two' to attack the foe.
Double Slap,normal,Physical,1,Strength,,Dexterity,Brawl,Foe,Successive Actions. -2 Accuracy.,The user attacks its foe with two or more slaps in the face.
Double Team,normal,Support,0,,,Dexterity,Evasion,User,The User can now make up to 5 Evasions per Round.,"The user moves rapidly around the foe, creating illusory copies of itself."
Double-Edge,normal,Physical,5,Strength,,Strength,Brawl,Foe,Recoil.,"The user recklessly slams its foe to deal a lot of damage, but it may also hurt itself in the process."
Echoed Voice,normal,Special,2,Special,,Dexterity,Channel,Foe,"Sound Based. This move can be used many times in the same Round. Add 1 Extra Dice to the Damage Pool for every consecutive time you use it. Up to 8 dice may be added this way. Reset the effect if the user performs another move, evasion, or clash.","The user shouts loudly and the echo answers back, it will yell louder every time the echo talks back."
Egg Bomb,normal,Physical,4,Strength,,Dexterity,Brawl,Foe,Ranged. -2 Accuracy.,The user throws a big egg with great force against its foe.
Encore,normal,Support,0,,,Cool,Allure,Foe,"For the duration of this effect, the target will repeat the exact same action sequence it had this round. Target must have had an action sequence. Last 4 Rounds. Priority 3.",The user claps and cheers at the target to encourage it to repeat what it just did.
Endeavor,normal,Physical,0,,,Will,Channel,Foe,Roll Damage equal to the Difference between user's Full HP and its Current HP (up to 10). User cannot reduce the target's HP to lower than its own remaining HP. Ignore foe's Defenses.,"With pure willpower, the user struggles with its foe despite the pain"
Endure,normal,Support,0,,,Will,Channel,User,"Priority 5. Shield Move. For the rest of the Round damaging moves can not reduce the user's HP to less then 1. Status Ailments, Weather Conditions, Recoil, Self inflicted damage can still deal damage.",The user gets prepared to receive a fatal blow. It resists the pain despite being seriously hurt.
Entrainment,normal,Support,0,,,Cool,Perform,Foe,The target's Ability is replaced by the User's own Ability. (ie. Luvdiscs's Swift Swim Ability will replace Geodude's Sturdy Ability).,The Pokemon dances with a catchy rhythm. The target starts dancing too and both connect to a very personal level through this performance.
Explosion,normal,Physical,10,Strength,,Strength,Brawl,Area,After the damage is dealt the User faints. Lethal.,"The user focuses on exploding its body, the explosion deals a massive wave of damage. A very dangerous move."
Extreme Speed,normal,Physical,3,Strength,,Dexterity,Brawl,Foe,Priority 2. Triple the Pokemon's movement speed.,The user charges at a blinding speed against the target.
Facade,normal,Physical,3,Strength,,Dexterity,Brawl,Foe,"If User's got a Status Ailment (Paralysis, Poison, Burn, etc.) Add 3 Extra Dice to the Damage pool.","The Pokemon will make an upfront attack. If the user is suffering, the attack will be stronger."
Fake Out,normal,Physical,2,Strength,,Dexterity,Brawl,Foe,"Priority 1. Flinch the foe. This move will only work the First Round the Pokemon is out in battle. From the second round on, it will fail automatically.","While still preparing for battle, the user will suddenly attack the foe."
False Swipe,normal,Physical,2,Strength,,Dexterity,Brawl,Foe,The foe can't go below 1 HP when hit by this Move.,The user strikes the foe but lowers the power of the blow at the last second.
